title,excerpt,start_date,views,answers,votes,url
Running a REST server within Unity3d,"
            I'm trying to build a REST server within a Unity project and thought initially that Nancy seemed like the obvious choice. Many headaches later however and I'm still having trouble getting Nancy to run ...
        ",2013-08-29 17:02:44Z,"1,849",3,8,https://stackoverflow.com/questions/18516923/running-a-rest-server-within-unity3d
Corlib not in sync when building Unity games with mdtool in OSX,"
            Unity3D, a popular game engine, packages a version of mono (and monodevelop) with its install. Recently I installed Xamarin Studio, keen to play with it. Later I followed some online guides for ...
        ",2013-04-24 12:59:20Z,463,0,8,https://stackoverflow.com/questions/16192678/corlib-not-in-sync-when-building-unity-games-with-mdtool-in-osx
Problems when trying to use ksp/unity3d binaries?,"
            I'm trying to use the kerbal space program (ksp) binaries to read in one of the ksp part models, I've added the ksp binaries and UnityEngine.dll under references then I'm doing the following:

Planet ...
        ",2013-04-01 22:50:36Z,931,1,8,https://stackoverflow.com/questions/15753277/problems-when-trying-to-use-ksp-unity3d-binaries
iphonesimulator (SDK not found) error in xcode,"
            I've been trying to resolve this issue for a while now. The reason I am trying to build for a simulator is to get screenshot on a retina 4 inch display which is now required in the appstore. I am ...
        ",2013-03-22 08:25:07Z,"3,536",3,8,https://stackoverflow.com/questions/15565765/iphonesimulator-sdk-not-found-error-in-xcode
COM Interop in Mono 2.0,"
            I am trying to use this code in a Unity project, but it seems the implementations of COM Interop in Mono/.NET differs, which causes the code to fail or crash. Running the code in .NET works fine, but ...
        ",2017-02-14 10:29:37Z,186,2,8,https://stackoverflow.com/questions/42223713/com-interop-in-mono-2-0
Video is not playing on local Machine in visual studio using unity,"
            I have added code in Unity to play video , which is woking in Unity , but when I export the Unity code in to Visual Studio .sln file, Video is not playing , other objects are rendering. When tries to ...
        ",2016-07-29 16:16:27Z,234,2,8,https://stackoverflow.com/questions/38663312/video-is-not-playing-on-local-machine-in-visual-studio-using-unity
Should I use jMonkeyEngine 3 (jME 3) or Unity 4.3 to teach game programming to my children? [closed],"
            I'm looking to teach my kids programming, and it looks like I've narrowed it to two options:
jMonkeyEngine 3 (jME 3)
Unity 4.3
I couldn't find any ""current"" comparisons, and so I thought I'd ask:

...
        ",2014-02-07 00:27:32Z,"11,458",6,7,https://stackoverflow.com/questions/21616995/should-i-use-jmonkeyengine-3-jme-3-or-unity-4-3-to-teach-game-programming-to-m
OnCollisionEnter is not called in unity,"
            I checked nearly every answer for this, but those were mostly simple errors and mistakes.
My problem is that OnCollisionEnter is not called even when colliding whith other rigidbody.

here is the part ...
        ",2013-12-13 13:27:02Z,"19,908",6,7,https://stackoverflow.com/questions/20567692/oncollisionenter-is-not-called-in-unity
Can't use google play services on unity java plugin,"
            I have a plugin for Unity that is written in Java. In this plugin I need to get the new Google Advertisement ID to do it, I have to add to the Manifest file:

<meta-data android:name=""com.google....
        ",2013-12-22 11:08:01Z,"14,191",4,7,https://stackoverflow.com/questions/20728725/cant-use-google-play-services-on-unity-java-plugin
Every iteration of every “foreach” loop generated 24 Bytes of garbage memory?,"
            My friend works with Unity3D on C#. And he told me specifically:
  Every iteration of every “foreach” loop generated 24 Bytes of garbage
  memory.
And I also see this information here 

But is this ...
        ",2013-09-10 11:59:10Z,"8,826",3,7,https://stackoverflow.com/questions/18718399/every-iteration-of-every-foreach-loop-generated-24-bytes-of-garbage-memory
Blender vs. Unity [closed],"
            I want to make a 3D game, preferably that can be played in browser.  Some people say blender, some say unity.  What are the pros and cons of each?  Which one do you prefer?  Why?  Also, do you have ...
        ",2010-10-07 23:16:51Z,"6,355",2,7,https://stackoverflow.com/questions/3886611/blender-vs-unity
How to create VR Video player using Google Cardboard SDK for Unity,"
            I just downloaded Google Cardboard SDK for unity. I am fine and able to create VR project. Setup is fine and everything is working fine.

I am noob at VR Apps. Just stepped in VR Apps.

I am planing ...
        ",2015-05-16 16:10:12Z,"30,935",5,7,https://stackoverflow.com/questions/30277895/how-to-create-vr-video-player-using-google-cardboard-sdk-for-unity
How can a game created in Unity can run on an Android device?,"
            I'm new using Unity and, if I understood correctly, it works using C# language. Android devices can only run Java applications cause that's the work of its virtual machine: the Dalvik. So how can this ...
        ",2012-02-16 03:23:42Z,"2,820",1,7,https://stackoverflow.com/questions/9305111/how-can-a-game-created-in-unity-can-run-on-an-android-device
Use of undeclared identifier 'GL_BGRA_EXT' error in iOS 8(Xcode 6)?,"
            I am using Unity 4.3.4f1. and untill right now when i was making Builds for iOS they were working fine.
I just upgraded my Xcode from v5.1 to v6. now the same code is giving me error like the ...
        ",2014-10-28 05:14:42Z,"4,377",1,7,https://stackoverflow.com/questions/26601303/use-of-undeclared-identifier-gl-bgra-ext-error-in-ios-8xcode-6
Move simple Object in Unity 2D,"
            I'm trying to move a simple Object in Unity but I get the following error message:

cannot modify the return value of unityengine.transform.position because itar is not variable

Here is my code:

...
        ",2014-03-17 23:43:30Z,"33,821",1,7,https://stackoverflow.com/questions/22467674/move-simple-object-in-unity-2d
How can I draw a circle in Unity3D?,"
            How to draw circle in Unity 3d?
I want draw circle around different object.
Radiuses of circles are different and circle has texture - squares.
        ",2012-12-04 17:19:15Z,"58,828",5,7,https://stackoverflow.com/questions/13708395/how-can-i-draw-a-circle-in-unity3d
Is there a standard/recommended directory structure for Unity projects?,"
            My next project will use Unity 5.6.  It will be a game and that will leverage AssetBundle for remote scenes loading.  New scenes will be incrementally added afterward.  Therefore I hope I won't use a ...
        ",2017-06-05 07:29:12Z,308,2,7,https://stackoverflow.com/questions/44363854/is-there-a-standard-recommended-directory-structure-for-unity-projects
Make a sphere with equidistant vertices,"
            I'm trying to make a spherical burst of rays for the purpose of checking collision, but having specific interactions happen based upon what or where each ray hit. Hence why I'm using rays rather then ...
        ",2014-07-29 10:02:40Z,"2,765",6,7,https://stackoverflow.com/questions/25012737/make-a-sphere-with-equidistant-vertices
Unity3d 3D Text always displayed Blur,"
            While similar questions have been posted before, but none actually suited my Case where Orthographic Camera is also involved, so culling logic would be different.

So, in my scene I have a ...
        ",2013-05-12 11:10:29Z,"5,920",1,7,https://stackoverflow.com/questions/16506737/unity3d-3d-text-always-displayed-blur
Mobile Game with Unity - Plugin for In-App Purchase [closed],"
            I'm developing a mobile game with Unity and while it's very easy to get the core game loop running I have been having some problems with the interfaces to mobile devices and specifically with the In-...
        ",2013-02-24 11:29:23Z,"8,979",4,7,https://stackoverflow.com/questions/15051292/mobile-game-with-unity-plugin-for-in-app-purchase
What is the difference between “yield return 0” and “yield return null” in Coroutine?,"
            I'm new and a bit confused about ""yield"". But finally I understand how it worked using WaitForSeconds

but I can't see the difference between of ""yield return 0"" and ""yield return null"". 

are both ...
        ",2016-09-01 10:12:35Z,"2,756",2,7,https://stackoverflow.com/questions/39268753/what-is-the-difference-between-yield-return-0-and-yield-return-null-in-corou
How to execute async task in Unity3D?,"
            Does any body know any way of doing async task in unity. I am looking for that for a while but couldn't find any way to do, yet. 
I am trying to do a coloring game, there is a flood fill algorithm ...
        ",2014-01-21 15:11:48Z,"27,787",5,7,https://stackoverflow.com/questions/21261939/how-to-execute-async-task-in-unity3d
DllNotFoundException in unity3d plugin for c++ dll,"
            I am working on the Unity Plugin project and try to import the c++ native dll from c# file.
But I keep getting dllnotfoundexception.

c++ dll code: 

extern ""C"" {
extern __declspec( dllexport ) bool ...
        ",2012-04-03 23:40:38Z,"19,505",6,7,https://stackoverflow.com/questions/10003028/dllnotfoundexception-in-unity3d-plugin-for-c-dll
How to set up Unity Test Tools on Unity 5,"
            I'm trying to figure out how to make it work. The documentation is slim to say the least on this important topic.

The small amount of tutorials I found make reference to options not even present when ...
        ",2016-01-07 16:00:48Z,"6,990",1,7,https://stackoverflow.com/questions/34659654/how-to-set-up-unity-test-tools-on-unity-5
What is a nested prefab?,"
            I'm getting links to this post today all over the social media. It seems some people made a useful piece of code to work with ""nested prefabs"". This thing is somehow related to 3D game development, ...
        ",2013-09-12 15:09:15Z,"7,087",1,7,https://stackoverflow.com/questions/18768013/what-is-a-nested-prefab
Android - embedding Unity3d scene in activity - need to unregister receiver?,"
            I've been a SO member for a while but never actually asked a question, so here goes..

My Aim

I'm trying to make an Android app with two activities. The first is a menu screen (using standard Android ...
        ",2015-06-01 17:36:42Z,"4,705",1,7,https://stackoverflow.com/questions/30579712/android-embedding-unity3d-scene-in-activity-need-to-unregister-receiver
How to resolve “'UnityEngine.Random' does not contain a definition for 'Next' …” error?,"
            i am writing a game in unity and i want to create
one random integer number... i am using the following:

public Random ran = new Random();
public int power = ran.Next(0, 10);
but when i want to run ...
        ",2015-01-24 17:54:51Z,"6,430",2,7,https://stackoverflow.com/questions/28128457/how-to-resolve-unityengine-random-does-not-contain-a-definition-for-next
Resharper warns about unused methods called by Unity3D,"
            I just started using Reshaper today, and to get a lot of warnings about unused methods provided by Unity3D, like Awake(), Start()and Update() etc. Those are called by Unity3D with Reflection, ...
        ",2014-04-14 19:20:24Z,"2,692",3,7,https://stackoverflow.com/questions/23068490/resharper-warns-about-unused-methods-called-by-unity3d
Method to know the Unity version of an Unity project?,"
            There is a way of knowing the Unity version used to make an Unity project?
Before it was possible checking the beginning of the Projectsettings file with an hex editor, but now nothing is shown about ...
        ",2014-11-20 02:08:11Z,"1,588",2,7,https://stackoverflow.com/questions/27030533/method-to-know-the-unity-version-of-an-unity-project
Adjusting the height of Unity 4.6 UI Text according to content,"
            I am new to the unity's latest UI. What I know about UI Text Element is, we can wrap the text with in the horizontal bounds, but if it comes to next line, either it overflows or it truncates. If it ...
        ",2014-09-03 06:30:24Z,"10,857",2,7,https://stackoverflow.com/questions/25637659/adjusting-the-height-of-unity-4-6-ui-text-according-to-content
Integrating Unity with Eclipse - How to follow the “official” tutorial's instructions?,"
            I have read all the documentation I found on how to integrate Unity3D projects targeted to Android into eclipse. The reason I want to do that is to be able to call the Unity3D Activity within my own ""...
        ",2012-01-26 17:11:10Z,"12,355",3,7,https://stackoverflow.com/questions/9022207/integrating-unity-with-eclipse-how-to-follow-the-official-tutorials-instruc
ITunesConnect dont display additional languages on submit for review,"
            I use Unty 4.6 Beta 20, XCode 6.1.
I created app with unity3d and currently want upload it to app store.
I dont use xcode(ios) localisation functionality, because unity provides own framework for ...
        ",2014-11-04 18:46:59Z,"2,038",2,7,https://stackoverflow.com/questions/26742702/itunesconnect-dont-display-additional-languages-on-submit-for-review
A good example code of how to implement Marching Cubes? [closed],"
            Currently I am trying to implement the marching cubes algorithm in my project. It uses Unity 3 and C#. But I need to find a proper implementation example to truly understand its inner working.

I ...
        ",2012-02-17 14:51:59Z,"18,988",4,7,https://stackoverflow.com/questions/9330334/a-good-example-code-of-how-to-implement-marching-cubes
"What is the difference between Component, Behaviour and MonoBehaviour? And why these are separated?","
            MonoBehaviour extends Behaviour and Behaviour extends Component.
I want to know why these classes are separated and semantic meanings of these classes.
Are there any purpose to separate these classes? ...
        ",2017-06-14 09:28:38Z,185,1,7,https://stackoverflow.com/questions/44540747/what-is-the-difference-between-component-behaviour-and-monobehaviour-and-why-t
How to draw circle in unity by shader and anti-aliasing,"
            I have drawn a circle by shader, but I can't get anti-aliasing to work.

I tried finding an answer here http://answers.unity3d.com/questions/521984/how-do-you-draw-2d-circles-and-primitives.html, but ...
        ",2016-09-22 09:32:45Z,"1,419",2,7,https://stackoverflow.com/questions/39635320/how-to-draw-circle-in-unity-by-shader-and-anti-aliasing
Develop 2D game Inside Canvas Scaler,"
            I'm new in Unity and i've realized that it's difficult do a multi resolution 2d game on unity without paid 3rd plugins available on Asset Store.

I've made some tests and i'm able to do multi ...
        ",2015-08-11 15:03:20Z,"1,139",2,7,https://stackoverflow.com/questions/31945406/develop-2d-game-inside-canvas-scaler
4.6 New UI How to change Button Image?,"
            Everything I search is based on the old UI.

I've tried the following

button.image = Resource.Load<Image>(""..."");
button.GetComponent<Image>() = Resources.Load<Image>(""...."");
...
        ",2015-01-04 00:14:46Z,"21,449",2,7,https://stackoverflow.com/questions/27761021/4-6-new-ui-how-to-change-button-image
Find out if I'm on the unity thread,"
            How can I check if the thread I'm on is the Unity thread?

I tried capturing the threadId at constructor time, but somewhere along the lifetime of the program, the threadId moves.

In my project, some ...
        ",2014-10-19 16:21:40Z,"4,262",1,7,https://stackoverflow.com/questions/26452609/find-out-if-im-on-the-unity-thread
how to change the font type in GUI in unity,"
            I used GUI to display this text in unity :

GUI.Label(Rect(430,320,500,500),""Win"");
GUI.Label(Rect(400,470,500,500),""Your scores :"" +player_script.points);
I want to make the text like this :
        ",2013-10-10 09:23:59Z,"5,851",1,7,https://stackoverflow.com/questions/19291863/how-to-change-the-font-type-in-gui-in-unity
How to implement Split Screen Multitasking on iPad using Third party apps?,"
            I tried to implement the Multitasking feature Apple provided using AIR application, but I seem to miss something.

I did the following as apple recommended:
Compiled the app with iOS9 SDK.
All ...
        ",2015-09-25 13:09:19Z,926,3,7,https://stackoverflow.com/questions/32782976/how-to-implement-split-screen-multitasking-on-ipad-using-third-party-apps
IntelliSense in Visual Studio when using Unity3d,"
            How to add IntelliSense and Syntax Highlighting to Visual Studio 2013 when I call it from Unity3d?

Now I have a code:

using UnityEngine;
using System.Collections;

public class cubeScript : ...
        ",2014-03-20 21:24:08Z,"8,836",2,7,https://stackoverflow.com/questions/22545407/intellisense-in-visual-studio-when-using-unity3d
Does Dynamo IoC work with MonoTouch and MonoDroid?,"
            I'm curious, out of all the possible C# .NET inversion of control solutions out there, if anyone has ever tried Dynamo IoC (http://www.dynamoioc.com/) and whether or not it works with projects ...
        ",2012-05-11 16:21:57Z,"1,190",3,7,https://stackoverflow.com/questions/10555127/does-dynamo-ioc-work-with-monotouch-and-monodroid
Unity iPhone app size is too big,"
            I built a unity game for iPhone which gave an app size of 288 MB. So tried with an empty unity project. Initially it generated app of size 33 MB. But after googling i could reduce it to 19.2 MB. 

The ...
        ",2012-05-08 06:16:45Z,"14,277",1,7,https://stackoverflow.com/questions/10493507/unity-iphone-app-size-is-too-big
App Rejection by Apple due to use of watchdog timer for applications in unity3d iOs Game?,"
            I got a rejection from apple due to the following issue. 

2.2: Apps that exhibit bugs will be rejected

We found that your app failed to launch on iPhone 4 and iPad 2 running iOS 5,on both Wi-Fi and ...
        ",2011-10-11 06:12:58Z,"1,153",1,7,https://stackoverflow.com/questions/7722028/app-rejection-by-apple-due-to-use-of-watchdog-timer-for-applications-in-unity3d
Use Debug.Log from C++,"
            When making C++ plugins in Unity it is easier to use Debug.Log to quickly view variable values but this function is only available from C# side. This makes it very hard to debug C++ plugin since Unity'...
        ",2017-05-02 07:52:58Z,197,1,7,https://stackoverflow.com/questions/43732825/use-debug-log-from-c
VR Player controller is not showing to character controller,"
            I am developing a multiplayer game where a normal character controller user and VR user can participate. So there are two modes of the games through a user can join, Normal and VR Mode.

I am able to ...
        ",2016-10-28 10:27:34Z,407,1,7,https://stackoverflow.com/questions/40303149/vr-player-controller-is-not-showing-to-character-controller
Unity3D How to Create Augmented Reality Without Marker?,"
            I'm already make an augmented reality app that can read images marker, but I wonder if i can make augmented reality without marker in unity.
Can anyone tell me how?
        ",2016-04-19 09:16:05Z,"20,601",2,7,https://stackoverflow.com/questions/36713941/unity3d-how-to-create-augmented-reality-without-marker
Unity Custom Editor Like 'Layer Collision Matrix',"
            I'm trying to show a two-dimensional array in the editor like the ""Layer Collision Matrix"" is shown in Unity:
Though instead of checkboxes I need ints, and a full grid (not the triangle shape.) I can'...
        ",2012-11-13 15:00:37Z,"2,654",1,7,https://stackoverflow.com/questions/13363062/unity-custom-editor-like-layer-collision-matrix
How to detect that my object is completely inside a box?,"
            I'm developing a game that you drag and drop objects into boxes and I have no idea what's the best and most efficient way to detect whether my objects are in a box.

I'm well aware of colliders and I'...
        ",2012-10-27 16:01:29Z,"16,160",8,7,https://stackoverflow.com/questions/13101775/how-to-detect-that-my-object-is-completely-inside-a-box
Any proper way of sending byte data to Unity3D from a C plugin?,"
            Just a question of curiosity here.

When you write plugins for Unity on the iOS platform, the plugins have a limited native-to-managed callback functionality (from the plugin and then to Unity). ...
        ",2012-09-05 13:22:10Z,"3,776",2,7,https://stackoverflow.com/questions/12282454/any-proper-way-of-sending-byte-data-to-unity3d-from-a-c-plugin
How to get full list of Unity shader properties,"
            I am quite new to shaders and have been searching for a full list of Unity shader properties. I haven't found any such documentation. What I found was SL-Properties. Where can I find a full list of ...
        ",2016-06-10 11:29:53Z,"1,669",2,7,https://stackoverflow.com/questions/37747135/how-to-get-full-list-of-unity-shader-properties
Can I change current stacktrace in C#?,"
            In short, I need to modify the current stack trace in C#, so that method that I call (which I cannot modify) would think that it was someone else who called it.

Now, to give a little context about ...
        ",2014-08-11 13:22:38Z,"1,257",2,7,https://stackoverflow.com/questions/25244325/can-i-change-current-stacktrace-in-c
JIT error with LINQ OrderBy using C# on iOS,"
            I'm receiving the following error on my iOS device:
  ExecutionEngineException: Attempting to JIT compile method 'System.Linq.OrderedEnumerable1<System.Collections.Generic.KeyValuePair2>:...
        ",2013-05-10 15:17:08Z,"3,840",3,7,https://stackoverflow.com/questions/16485517/jit-error-with-linq-orderby-using-c-sharp-on-ios
Unity3d user32.dll drag window and take focus back,"
            I made a borderless windowed application and a ""fake"" title bar to drag it.

I'm using user32.dll, 

This to start the window drag (triggered by unity IBeginDragHandler) :

public const int ...
        ",2017-04-29 12:07:51Z,388,1,7,https://stackoverflow.com/questions/43695529/unity3d-user32-dll-drag-window-and-take-focus-back
"In Unity, How to Stop Popup for “Show Unity Splashscreen”","
            I'm just now learning how to use Unity to mess around in SteamVR. Every time I press the play button to test out my scene, I get this annoying popup. The tutorial I'm following doesn't have this ...
        ",2017-01-01 19:55:39Z,"1,296",1,7,https://stackoverflow.com/questions/41418481/in-unity-how-to-stop-popup-for-show-unity-splashscreen
How should I call my C++ function from Unity3D,"
            This is a little bit difficult because I don't even know if my C++ is well implemented.

I want to call a function from Unity3D which I pass some parameters such float *points and my C++ writes in ...
        ",2015-07-04 21:43:32Z,"1,249",1,7,https://stackoverflow.com/questions/31225343/how-should-i-call-my-c-function-from-unity3d
How Does Unity Works With C# Classes,"
            Coming from studying pure C#, I find the scripting in Unity (with C#) to be a bit unintuitive.

For example, it seems the most common way people (beginners?) use scripts in Unity is by creating a ""...
        ",2014-08-06 03:43:24Z,"1,061",3,7,https://stackoverflow.com/questions/25151867/how-does-unity-works-with-c-sharp-classes
How to set .Net 4.0 as the default framework in MonoDevelop (Unity 3D),"
            I'm using MonoDevelop version 2.8.2 and the default parameters that are available in the .NET 4.0 framework. My first problem was that every time I reloaded MD the .NET runtime would be reset to 3.0, ...
        ",2013-08-14 18:01:00Z,"9,046",1,7,https://stackoverflow.com/questions/18238960/how-to-set-net-4-0-as-the-default-framework-in-monodevelop-unity-3d
"Unity3D on iOS, inspecting the device camera image in Obj-C","
            I have a Unity/iOS app that captures the user's photo and displays it in the 3D environment. Now I'd like to leverage CIFaceFeature to find eye positions, which requires accessing the native (...
        ",2013-01-11 22:11:12Z,"1,005",2,7,https://stackoverflow.com/questions/14287507/unity3d-on-ios-inspecting-the-device-camera-image-in-obj-c
Best way to create a Android XMPP chat client in Unity3D,"
            I am trying to create a iOS and Android XMPP chat client using Unity/C#/Mono. I got a fully functional chat client working for iOS using Jabber.net, but it does not work for Android. So does anyone ...
        ",2012-08-29 07:15:06Z,"2,810",2,7,https://stackoverflow.com/questions/12172641/best-way-to-create-a-android-xmpp-chat-client-in-unity3d
Unity3D XML(-RPC) and C#,"
            I'm actually answering my own question here.

I must be the only person in the world who tried to do this but given that it has taken me about a week to work this out - I figured that if there is ever ...
        ",2011-08-23 09:01:47Z,"3,502",1,7,https://stackoverflow.com/questions/7158530/unity3d-xml-rpc-and-c-sharp
Pixelated lighting shader,"
            I've written a GLSL shader for use in Unity3D with my pixelated iOS app. It has two ONE problems: 

1) The effect doesn't always stay with the moon, and 
2) the lighting doesn't look pixelated.

I'll ...
        ",2016-09-27 04:09:32Z,398,1,7,https://stackoverflow.com/questions/39715811/pixelated-lighting-shader
Inconsistent jitter in iOS game,"
            I am working on a very simple vertical scrolling game for Unity iOS. My game is experiencing inconsistent jittering. I have searched the web extensively looking for a solution without any luck. I am ...
        ",2016-08-03 17:11:02Z,354,3,7,https://stackoverflow.com/questions/38749831/inconsistent-jitter-in-ios-game
Unable to load movie via WWW,"
            I'm trying to load a video via url, but I keep getting the same error. I'm using Unity 5.3 and the example code from http://docs.unity3d.com/ScriptReference/WWW-movie.html (heavily modified because ...
        ",2015-12-18 22:14:19Z,"4,363",2,7,https://stackoverflow.com/questions/34364732/unable-to-load-movie-via-www
Input of a Rhythm Game,"
            So, Unity does not do a lot of rhythm games on android. I decided to find out why, and program one as assignment (the basics of it anyway). My most important hurdle is user input. As we know that ...
        ",2013-11-14 17:43:46Z,"4,495",2,7,https://stackoverflow.com/questions/19984637/input-of-a-rhythm-game
Make Player Flash When Hit,"
            I'm trying to make my player flash when hit. I have hit detection working. He currently changes to red. I'm wondering how to make the actual flashing occur. Here's a snippet that handles being hit:

...
        ",2013-04-19 22:23:02Z,"5,625",2,7,https://stackoverflow.com/questions/16114349/make-player-flash-when-hit
Android plugin using Google Fitness API for Unity3D,"
            The main goal of my project is to create a Unity plugin that will be able to use Google Fitness step counter API. It have to provide several features like: getting daily steps count, getting total ...
        ",2017-06-05 13:51:14Z,298,1,7,https://stackoverflow.com/questions/44370531/android-plugin-using-google-fitness-api-for-unity3d
OpenCV for Unity : 4-point calibration/reprojection,"
            It is my first post on Stack so I'm sorry in advance for my clumsiness. Please let me know if I can improve my question anyway.

► What I want to achieve (in a long term):

I try to manipulate my ...
        ",2017-05-07 22:39:42Z,236,1,7,https://stackoverflow.com/questions/43837455/opencv-for-unity-4-point-calibration-reprojection
make changes to material assets in unity3d,"
            I am overriding some Material Assets using an Editor Script, and materials override nicely. I can see new material properties get applied and when I click on individual materials I can see new ...
        ",2016-04-29 18:04:09Z,353,1,7,https://stackoverflow.com/questions/36944845/make-changes-to-material-assets-in-unity3d
XCode error when trying to run Unity3D app,"
            I am trying to run my iOS app that I developed in Unity on XCode but I am getting this error:
  dyld: Symbol not found: _gEnableStylusTouch
        Referenced from: /Users//Library/Developer/...
        ",2016-02-27 04:38:39Z,"1,135",1,7,https://stackoverflow.com/questions/35665737/xcode-error-when-trying-to-run-unity3d-app
Performance is very bad when set label with Thai text in Unity,"
            I have a Button in a Canvas, and when I set text button with English text, it works correct, but when set with Thai text, it delays up to 6 seconds (bad performance).

First I thought it was because I ...
        ",2015-11-13 07:52:11Z,307,2,7,https://stackoverflow.com/questions/33687973/performance-is-very-bad-when-set-label-with-thai-text-in-unity
Using Cardboard SDK in Unity 5 - no touch events?,"
            I have a 2D scene that is supposed to show a list of available cardboard scenes (like thumbnails).
After the user taps a thumbnail, I am trying to send him to the selected cardboard scene.
However, I ...
        ",2015-05-22 03:05:19Z,"3,859",4,7,https://stackoverflow.com/questions/30387721/using-cardboard-sdk-in-unity-5-no-touch-events
C# multithreading Strange behaviour,"
            Basically I'm working on this beat detection algorithm, the strange thing i am encountering right now is that when i split the work load on to another thread. So now i have one main thread and another ...
        ",2015-04-22 05:17:45Z,261,2,7,https://stackoverflow.com/questions/29788322/c-sharp-multithreading-strange-behaviour
webcamTexture rotation differs in unity3d under Android,"
            I am having a difficulty rotating the webcamtexture in my Android device.

Here is my scene in the editor: 
and here  is  the image in my phone:
You can see the difference in rotation and scaling ...
        ",2015-03-08 13:55:17Z,"1,678",1,7,https://stackoverflow.com/questions/28927223/webcamtexture-rotation-differs-in-unity3d-under-android
Unity meta files and git branching,"
            We're using ""Visible Meta Files"" as our internal version control at the moment (if it's not the correct approach, we wouldn't have a problem changing it), but currently confused as to what's best to ...
        ",2014-12-10 11:04:34Z,"2,173",2,7,https://stackoverflow.com/questions/27399403/unity-meta-files-and-git-branching
unity3d and git submodules is it possible?,"
            TLDR; This is going to be a long winded post but I am sure many of you unity3d developers are also running into the same problem I am. A problem that needs a clear definitive, once and for all answer ...
        ",2014-07-22 23:03:43Z,"1,711",2,7,https://stackoverflow.com/questions/24899296/unity3d-and-git-submodules-is-it-possible
Processor count reliability,"
            I'm making an Android game and the performance difference between single core phones such as Galaxy S and dual-core Galaxy S2 is comparable to night and day. Thus instead of making different versions ...
        ",2013-04-10 06:50:23Z,417,2,7,https://stackoverflow.com/questions/15918867/processor-count-reliability
Floating point inconsistency in mono,"
            I trid this in .NET immediate window:

30f + 0.5f
And get 30.5 as expected. In mono, I get 30 instead. What is the reason?

Details:
.NET: Visual Studio 2010 SP1
mono: Unity3D 3.5.6f4 equipped with ...
        ",2012-11-14 19:26:24Z,225,1,7,https://stackoverflow.com/questions/13385878/floating-point-inconsistency-in-mono
How to get data off of a character,"
            I am working on a project in Unity which uses Assembly C#. I try to get special character such as é, but in the console it just displays a blank character: """". For instance translating ""How are you?"" ...
        ",2012-11-09 15:35:33Z,"1,263",5,7,https://stackoverflow.com/questions/13311057/how-to-get-data-off-of-a-character
Unity app crash on first scene,"
            I am receiving following log on unity app launch on Xcode. 

2012-10-03 00:28:58.721 salah[1357:707] -> registered mono modules 0xe5d53c
-> applicationDidFinishLaunching()
Mono path[0] = '/var/...
        ",2012-10-02 19:39:31Z,"4,516",5,7,https://stackoverflow.com/questions/12697103/unity-app-crash-on-first-scene
Perlin terrain pages mismatched: elusive bug,"
            I've been developing a game in the Unity Game Engine that I hope will be able to use paged terrain for an infinite world (common theme nowadays). My terrain generator uses perlin noise exclusively. ...
        ","This post is community owned as of Jul 14 '12 at 13:06. Votes do not generate reputation, and it can be edited by users with 100 rep",698,1,7,https://stackoverflow.com/questions/11453809/perlin-terrain-pages-mismatched-elusive-bug
Marching Cubes generating holes in mesh,"
            I'm working on a Marching Cubes implementation in Unity. My code is based on Paul Bourke's code actually with a lot of modifications, but anyway i'm checking if a block at a position is null if it is ...
        ",2017-06-26 12:47:05Z,138,0,7,https://stackoverflow.com/questions/44760112/marching-cubes-generating-holes-in-mesh
Facebook Interstitial Ad Crash Mopub Plugin on Unity,"
            i realised Facebook Interstitial Ad crashes with Mopub Plugin when I check the crashes on organizer

I can see backtraces on organizer.

I want to find true file to edit and fix this crash.

This is ...
        ",2017-02-23 15:41:04Z,124,1,7,https://stackoverflow.com/questions/42420168/facebook-interstitial-ad-crash-mopub-plugin-on-unity
Error: Cannot create FMOD::Sound instance for resource sharedassets0.resource when splitting application binary in Unity,"
            I'm trying to publish an Unity app to the PlayStore. Since the size of the app is over the limit of 100MB, I need to split the binary. So I selected the option Split Application Binary in Unity.

...
        ",2017-01-24 10:46:07Z,680,0,7,https://stackoverflow.com/questions/41826154/error-cannot-create-fmodsound-instance-for-resource-sharedassets0-resource-wh
Problems porting a GLSL shadertoy shader to unity,"
            I'm currently trying to port a shadertoy.com shader (Atmospheric Scattering Sample, interactive demo with code) to Unity. The shader is written in GLSL and I have to start the editor with C:\Program ...
        ",2016-02-06 16:18:21Z,"1,117",1,7,https://stackoverflow.com/questions/35243265/problems-porting-a-glsl-shadertoy-shader-to-unity
Chroma Shader not working properly on IOS,"
            Update: this was fixed in Unity 5.3 

I wrote a Chroma Shader for Sprites. Its based on Unity's buildin shader Sprites-Diffuse Shader which you can download here 

I added a texture to map the second ...
        ",2015-11-19 14:01:36Z,305,0,7,https://stackoverflow.com/questions/33806032/chroma-shader-not-working-properly-on-ios
Google App Invites Unity3D Plugin Json File Location,"
            I am trying to integrate Google Invites in Unity 3D Android, there is no official plugin for this but I can create one. The problem is I am not sure where to place the json file in Unity Project.

In ...
        ",2015-11-12 07:04:36Z,338,0,7,https://stackoverflow.com/questions/33665943/google-app-invites-unity3d-plugin-json-file-location
