title,excerpt,start_date,votes,status,url
iOS ILCPP Debugging support,It would be great to be able to debug iOS ILCPP projects from Mono Develop without having to debug the C++ generated code. ,"Mar 09, 2016",200,,https://feedback.unity3d.com/suggestions/ios-ilcpp-debugging-support
Dither support for textures,It would be nice if Unity editor supported dithering for textures. This would allow developers to create smaller games when we could... ,"Oct 31, 2011",199,,https://feedback.unity3d.com/suggestions/dither-support-for-textures
"Mute, Solo and Bypass buttons on AudioMixer Group's should be settable t...",I would like to be able to mute a channel with a simple API call. And be able to tell if it's muted as well. Snapshots are useful fo... ,"Mar 11, 2015",198,,https://feedback.unity3d.com/suggestions/mute-solo-and-bypass-buttons-on-audiomixer-groups-should-be-settable-through-code-1
Wifi Android Builds,"Unreal Engine 4 supports wifi Android builds. Unfortunately, Unity doesn't seem to support it. It would be super nice if it did. 
... ","Apr 10, 2015",196,,https://feedback.unity3d.com/suggestions/wifi-android-builds
The Linux export in the editor should be 64 bit by default,"Almost every Linux gamer these days uses a 64 bit system (see: https://www.gamingonlinux.com/users/statistics).

Unlike Windows, 6... ","Sep 14, 2016",195,,https://feedback.unity3d.com/suggestions/the-linux-export-in-the-editor-should-be-64-bit-by-default
Particle shuriken Non-Uniform Scale over time.,While Shuriken has some great functionality some of the basics are missing.  One of those basics is the ability to non-uniform scale... ,"May 22, 2014",195,Completed,https://feedback.unity3d.com/suggestions/particle-shuriken-non-uniform-scale-over-time
Support for Blender(.blend) files.,"Unity has supported .blend files for a long time, Blender works perfectly with Unity, avoiding 3rd party exports that waste a long t... ","Sep 30, 2015",194,,https://feedback.unity3d.com/suggestions/support-for-blender-dot-blend-files
Unity should take care of SEGI,"Fully Dynamic Global Illumination is the way for perfect realism. 

Now that the amazing Fully Dynamic Global Illumination ""SEGI"" ... ","Sep 08, 2017",193,,https://feedback.unity3d.com/suggestions/unity-should-take-care-of-segi
Allow script access to TrailRenderer Colors array,There is no way to change the trail colors at runtime via script. Please please give us access. ,"Dec 10, 2014",192,Completed,https://feedback.unity3d.com/suggestions/allow-script-access-to-trailrenderer-colors-array
Property drawers should support GUI layout functions,Property drawers are a useful addition that make it easier to tailor and fine-tune the Inspector without writing full custom editors... ,"Sep 06, 2013",192,,https://feedback.unity3d.com/suggestions/property-drawers-should-support-
Instanced Stereo Rendering (VR optimisation),"Use hardware instancing to draw objects to both eyes in a single draw call in VR. Epic uses this in their Bullet Train demo, and the... ","Nov 22, 2015",190,Started,https://feedback.unity3d.com/suggestions/instanced-stereo-rendering-vr-optimisation
Option to set Sun (Light) via script,Currently you can set Sun (Light) only in Lighting window in Environment Lighting section. It would be really nice if you could set ... ,"Aug 03, 2015",190,,https://feedback.unity3d.com/suggestions/option-to-set-sun-light-via-script
Licensing: License Management Portal,I have a Mac Pro and a MacBook Pro - now I want to install Windows via Bootcamp on my Mac Pro and do part of my Unity development on... ,"May 29, 2010",190,,https://feedback.unity3d.com/suggestions/licensing-license-management-po
Platforms: XBox 360 support,"XBox 360 Platform support (native, i.e. non-XNA)

For this to happen I know that mono needs to support AOT compile on 360's PowerPC ... ","Apr 24, 2009",190,Completed,https://feedback.unity3d.com/suggestions/platforms-xbox-360-support
Automatic Play Store / Testflight build upload.,Both Play Store and Testflight offer APIs that allow you to configure automatic uploads from your build server. Unity also has an AP... ,"Feb 16, 2016",187,,https://feedback.unity3d.com/suggestions/automatic-play-store-slash-testflight-build-upload
Direct integration of SVG Importer asset in unity,"The SVG importer asset should be directly integrated to Unity.

I would make all 2D graphics resolution independent, and save all ... ","Sep 12, 2015",187,,https://feedback.unity3d.com/suggestions/direct-integration-of-svg-importer-asset-in-unity
Work with Google to make Unity built APKs work with ARC Welder,Having Unity built Android APKs work with Google's new ARC (App Runtime for Chrome) Welder https://developer.chrome.com/apps/getstar... ,"Jun 12, 2015",187,,https://feedback.unity3d.com/suggestions/work-with-google-to-make-unity-built-apks-work-with-arc-welder
Upgrade Enumerable.cs for avoid AOT Problem of LINQ(Average etc...),"Some LINQ methods(ex. Average(selector)) cause ""System.ExecutionEngineException: Attempting to JIT compile method"" on iOS.
It's iss... ","Jun 30, 2014",187,,https://feedback.unity3d.com/suggestions/upgrade-enumerable-dot-cs-for-avoid-aot-problem-of-linq-average-etc-dot-dot-dot
Creating folders in Hierarchy,it would be good to create folders in Hierarchy. for example i have object named House and i want to combine all objects such as bag... ,"Feb 15, 2012",186,,https://feedback.unity3d.com/suggestions/creating-folders-in-hierarchy
Skew property in 2D Sprite,Would be great to be able to Skew a 2D sprite! ,"Apr 28, 2014",185,,https://feedback.unity3d.com/suggestions/skew-property-in-2d-sprite
Bring the dark Pro Skin to Free users via the Asset Store,"I can't work without a dark skin, but I dont want to pay a ton of money just for that. I am willing to shell out 15 bucks or so for ... ","Mar 04, 2015",184,,https://feedback.unity3d.com/suggestions/bring-the-dark-pro-skin-to-free-users-via-the-asset-store
Maximum Mipmap Level,"When using texture atlases, especially for procedural geometry (voxel engines), at some point the mipmaps will become smaller than t... ","Apr 01, 2013",184,Planned,https://feedback.unity3d.com/suggestions/maximum-mipmap-level
Decrease Android APK size,"The default size is HUGE for android, 
Migrating 4 to 4.1 the APK increased hundreds of KB with an empty project already using over... ","Mar 21, 2013",182,,https://feedback.unity3d.com/suggestions/decrease-android-apk-size
Screen Space Sub-Surface Scattering,a new shader option (Screen space SSS) for a more sophisticated subsurface scattering lighting model. This unique tool simulates the... ,"Sep 15, 2011",181,,https://feedback.unity3d.com/suggestions/screen-space-subsurface-scatter
AudioMixerSnapshot.TransitionTo() updates when TimeScale = 0,Since animators can update when Time.TimeScale is zero it would be awesome if AudioMixerSnapshot.TransitionTo() also updated or had ... ,"Mar 19, 2015",180,,https://feedback.unity3d.com/suggestions/audiomixersnapshot-dot-transitionto-updates-when-timescale-equals-0
Blendshapes over-and-under morph (disable 0-100 limitation),Blendshapes are essential and a long waited-for feature but only allowing values between 0-100 means that many models with morphs ou... ,"Jan 29, 2014",180,,https://feedback.unity3d.com/suggestions/blendshapes-over-and-under-morph-disable-0-100-limitation
Editor: Cut-Scene editor / Sequencer,"Add editor tools for cut scenes / sequencing. Easily create cutscene with add effect, mix audio, animation, camera, etc... Peoples n... ","Dec 24, 2009",180,Started,https://feedback.unity3d.com/suggestions/editor-cutscene-editor--seque
Pasting a gameObject into the hierarchy should become a child of any sel...,When copying and pasting gameObjects in the hierarchy currently the pasted object is inserted at the same depth level as the selecte... ,"Jun 03, 2013",178,,https://feedback.unity3d.com/suggestions/pasting-a-gameobject-into-the-hi
Quad buffer stereo,It would really be nice if Unity supported quad-buffer stereo. Would it not be possible to expose this in the editor as a render set... ,"Apr 03, 2013",176,,https://feedback.unity3d.com/suggestions/3124--quad-buffer-stereo
Chromecast support,"Hot damn, if this device can make a phone, tablet and pc sync with your tv, then im sure it would be awesome to make chromecast a hu... ","Jul 29, 2013",175,,https://feedback.unity3d.com/suggestions/chromecast-support
Feedback - 10 Votes per month (+ why current voting system is not ideal),"Why is the current voting system not the best possible solution? Well, because after you spent all your votes it is not very interes... ","Oct 19, 2013",173,,https://feedback.unity3d.com/suggestions/feedback-10-votes-per-month-plus-why-current-voting-system-is-not-ideal
Scene Object Local File ID from Instance ID,There's no way to get consistent object references across editor sessions currently. The Instance ID's generated are different every... ,"May 15, 2014",172,,https://feedback.unity3d.com/suggestions/scene-object-local-file-id-from-instance-id
Onion Skinning or Ghost Ability for Animation Window,"Onion skinning is a technique that allows for ease of animation. On the current key frame that is being manipulated, transparent ver... ","Oct 03, 2013",172,Under review,https://feedback.unity3d.com/suggestions/onion-skinning-or-ghost-ability-
Hex color field in color picker,Add a hex field along with the RGBA text fields in the editor color picker.  This will make it easy to copy and paste colors between... ,"Jan 18, 2012",171,Completed,https://feedback.unity3d.com/suggestions/hex-color-field-in-color-picker
Vector3 and Quaternion should be Serializable,"... and other similar structs.

Is there a reason these types are not Serializable?

It's simple enough to work around this, but it ... ","Apr 10, 2010",170,,https://feedback.unity3d.com/suggestions/vector3-and-quaternion-should-be
Streaming .mp3 support now that patent has expired.,"""Streaming of 'mp3' on this platform is not supported""

I understand that this error is due to mp3 licensing issues, but it appear... ","May 04, 2017",169,,https://feedback.unity3d.com/suggestions/streaming-mp3-support-now-that-patent-has-expired
Automatically generate a Java API from the Unity C# API,Do you know that it is possible to use IKVM.NET to make your C# API (e.g. mscorelib.dll) available to Java developers in the form of... ,"Aug 09, 2015",169,,https://feedback.unity3d.com/suggestions/automatically-generate-a-java-api-from-the-unity-c-number-api
Add 2D Primitive shapes similar to 3D primitive objects.,"When creating a 2D prototype it would be nice to have access to simple shape primitives like Square, Circle/Ellipse, the same way we... ","Nov 25, 2013",169,Completed,https://feedback.unity3d.com/suggestions/add-2d-primative-shapes-similar-to-3d-primative-objects
ARMv6 Android Support,There are over 40 phones today that are still being sold that have ARMv6 processors. It is a larger amount of the market share of us... ,"Jan 11, 2011",169,,https://feedback.unity3d.com/suggestions/armv6-android-support
PlasticSCM repository support,"Plastic announced support for cloud hosted repositories. It would be good if we could use them for Unity Cloud Build.

https://pla... ","Aug 28, 2015",168,,https://feedback.unity3d.com/suggestions/plasticscm-repository-support
New Unity UI (4.6) should support tab key based navigation between input...,The new UI system has a Navigation system that allows a user to use the arrow keys on the keyboard to switch focus between UI contro... ,"Jan 29, 2015",168,,https://feedback.unity3d.com/suggestions/new-unity-ui-4-dot-6-should-support-tab-key-based-navigation-between-input-fields
Editor: Subversion Support,"We really need svn support in Unity, it will make collaboration a lot better. ","Apr 17, 2009",168,Completed,https://feedback.unity3d.com/suggestions/editor-subversion-support
Boosting free assets : adding a donate option,"I am an experienced programmer, and also I am just getting started with Unity, I am planning to make a procedural generation tool an... ","Jul 29, 2016",167,,https://feedback.unity3d.com/suggestions/boosting-free-assets-adding-a-donate-option
AnimationCurve key handles too rigid,The key handles at the moment can only be rotated around the key. Unlike other programs like photoshop or illustrator where you can ... ,"Jun 10, 2016",167,,https://feedback.unity3d.com/suggestions/animationcurve-key-handles-too-rigid
Expose Navigation settings to editor scripts,"I am currently working on an automated editor system that uses Unity's Navmesh builder.  Right now, the user needs to manually enter... ","May 07, 2016",166,Started,https://feedback.unity3d.com/suggestions/expose-navigation-settings-to-editor-scripts
Garbage free Texture2D.GetPixels(),"The current signature of GetPixels is:
public Color[] GetPixels(int x, int y, int blockWidth, int blockHeight, int miplevel = 0);
... ","Oct 11, 2016",165,,https://feedback.unity3d.com/suggestions/garbage-free-texture2d-dot-getpixels
Bink video support,"Theora is slow and unreliable, and doesn't support alpha channels. Bink has been around forever and is awesome. Unity should pick it... ","Aug 11, 2010",164,Declined,https://feedback.unity3d.com/suggestions/bink-video-support
List Assets in Resources folder,"There are many games where you have to load and unload assets at runtime.
Currently in Unity the only way to make it is through Res... ","Jan 28, 2017",163,,https://feedback.unity3d.com/suggestions/list-assets-in-resources-folder
Debugger add-in for Xamarin 6,"Monodevelop 5.9 has some issues, and it looks and feels obsolete already.

But for mac users there is no good alternative (I've tr... ","Jun 15, 2016",163,Completed,https://feedback.unity3d.com/suggestions/debugger-add-in-for-xamarin-6
ASSET STORE SHOULD WORK WITH PAYONEER,"It will be fine  that Asset Store will start to work with Payoneer , or add new payment options  (ex. Global Payment Service) .

h... ","Sep 27, 2016",162,,https://feedback.unity3d.com/suggestions/asset-store-should-work-with-payoneer
Platforms: export to WebGL + JavaScript,"By enabling export to WebGL + JavaScript, the web player plugin would no longer be required. This would result in wider adoption of ... ","Feb 25, 2010",162,Completed,https://feedback.unity3d.com/suggestions/platforms-export-to-webgl--jav
Scripting: Expose more classes/properties to scripting API,There are various attributes that are editable from inspectors that cannot be accessed by script (e.g. ParticleEmitter class is acce... ,"Apr 15, 2009",162,Invalid,https://feedback.unity3d.com/suggestions/scripting-expose-more-classesp
Ability to decouple draw order from transform order in uGUI,"See this thread:

http://forum.unity3d.com/threads/draw-order-being-bound-to-transform-hierarchy-issues.265226/#post-1752852

It... ","Aug 28, 2014",161,,https://feedback.unity3d.com/suggestions/ability-to-decouple-draw-order-from-transform-order-in-ugui
Platforms: Steam integration,"I think that adding a way to integrate the releasing a game for Steam via build system, without having to buy Unity source code and ... ","Nov 08, 2009",161,,https://feedback.unity3d.com/suggestions/platforms-steam-integration
Lit Particles,"A solution for particle lighting (as in, particles being affected by lights, not particles serving as lights) would be tremendously ... ","Mar 17, 2015",160,Completed,https://feedback.unity3d.com/suggestions/lit-particles
Headless mode (linux): Option to disable including of textures and sound,"I know you can not do this by default to ensure that the builds always run correctly.
However that is why I'm suggesting to add 2 m... ","Aug 03, 2014",159,,https://feedback.unity3d.com/suggestions/headless-mode-linux-option-to-disable-including-of-textures-and-sound
Add Support For SVN Externals,SVN externals are not officially supported for Cloud Builds.  This makes it impossible to have third party or common external reposi... ,"Aug 14, 2015",158,,https://feedback.unity3d.com/suggestions/add-support-for-svn-externals
GPS Accuracy (Double),I'm working on a GPS application and have come across a major issue which I believe is relatively easy to fix. The problem exists in... ,"Jan 21, 2013",158,,https://feedback.unity3d.com/suggestions/gps-accuracy-double
Better GUI support,I would like to see either the new GUI stuff work on the iPhone or a new set of iPhone specific GUI classes added. ,"Apr 17, 2009",158,Completed,https://feedback.unity3d.com/suggestions/better-gui-support
Native Game Database engine and management GUI,For now almost every game is data-driven. We need really easy-to-use Game Database solution with native administration GUI inside Un... ,"Aug 01, 2013",157,,https://feedback.unity3d.com/suggestions/3537--native-game-database-engine-and-
Shuriken Particles orientation/facing/rotation control,"Hi,

It would be great! if we could choose where particle billboards are facing. Currently they can only face the camera, but ther... ","Jan 03, 2013",156,Completed,https://feedback.unity3d.com/suggestions/shuriken-particles-orientationf
Windows Rawinput data or Multiple mice,There are a lot of platforms that could be opened up with the use of multiple mice. At my business we have a platform called the Jam... ,"Apr 27, 2011",156,Under review,https://feedback.unity3d.com/suggestions/windows-rawinput-data-or-multipl
Ability to send unreliable RPC calls (or equivalent),There's no easy way to send a single unreliable packet to another client.   The only way to send unreliable data is with OnSerialize... ,"May 31, 2013",155,,https://feedback.unity3d.com/suggestions/ability-to-send-unreliable-rpc-c
Unity Remote multitouch support for new EventSystem used in 4.6 UI,Multiple touch input from Unity Remote do not register as different pointer events in EventSystem. Multiple touch inputs are treated... ,"Jan 17, 2015",154,,https://feedback.unity3d.com/suggestions/unity-remote-multitouch-support-for-new-eventsystem-used-in-4-dot-6-ui
Animation Sample of Mecanim,"Won't you add some kind of function just like ""animation.Sample()"" to Mecanim?
I noticed that Mecanim have itself preview ability, ... ","Aug 27, 2012",153,Completed,https://feedback.unity3d.com/suggestions/2446--animation-sample-of-mecanim
Point Level Animation import support for C4D,Unity needs PLA animation import support. It's not possible to do everything with bone-based animation. Even if it's possible it wou... ,"Mar 03, 2011",153,,https://feedback.unity3d.com/suggestions/point-level-animation-import-sup
Platform: Windows Phone 7,"I believe it would be of great goodness if Unity went over the upcoming Windows Phone 7. Then, it would pwn in every big application... ","Aug 23, 2010",153,Declined,https://feedback.unity3d.com/suggestions/platform-windows-phone-7
Web player support for Wwise,"Wwise integration is currently available on most Unity platforms. Unfortunately, Audiokinetic claims that in order for the Web Playe... ","Jul 27, 2012",152,Declined,https://feedback.unity3d.com/suggestions/web-player-support-for-wwise
Keep Current Unity Pro Subscription Price (For Single Platform Use),"Keep the current Unity Pro subscription price, but only for single platform use (e,g. standalone builds) Or allow the Plus tier to r... ","Jun 01, 2016",151,,https://feedback.unity3d.com/suggestions/keep-current-unity-pro-subscription-price-for-single-platform-use
More support for data structures in the inspector (i.e. Dictionary/Hasht...,"The inspector view is great for one offs like floats and what not, but often times I find myself wanting to put more data into a man... ","May 12, 2010",151,,https://feedback.unity3d.com/suggestions/more-support-for-data-structures
Screen Reader Accessibility,"Hi!
My name is Daniele. I was a 3D Artist for Architectural Visualization and Game Design.
Recently I've lost my sight and of cour... ","Jun 22, 2015",149,,https://feedback.unity3d.com/suggestions/screen-reader-accessibility
Game Center iOS 7.0 Verification Signature Support,"iOS 7.0 Has introduced a new verification signature for Game Center.

I'm a huge hater on the lack of this support from Apple for ... ","Jan 23, 2014",148,,https://feedback.unity3d.com/suggestions/game-center-ios-7-dot-0-verification-signature-support
Editor: upgrade to 2.5 Unity Editor, ,"Apr 16, 2009",148,Completed,https://feedback.unity3d.com/suggestions/editor-upgrade-to-25-unity-edi
Advanced(Popular) Terrain System for Artist,"However, unity's terrian system still has many restriction, it's very hard create landscape in unity.
Why not update the terrain sy... ","Dec 26, 2015",147,,https://feedback.unity3d.com/suggestions/advanced-popular-terrain-system-for-artist
Ability to run in a resizable window,"Let Unity run in a normal windows window, like the Unity editor.  This is needed for serious gaming, or games that may want to be ru... ","Oct 14, 2011",147,Completed,https://feedback.unity3d.com/suggestions/ability-to-run-in-a-resizable-wi
Affinity support,It would be nice to have support for the filetypes .afdesign and .afphoto that are associated with Affinity Designer and Affinity Ph... ,"Aug 16, 2015",146,,https://feedback.unity3d.com/suggestions/affinity-support
Editor Camera FOV adjustable,Working with a fixed FOV of 60 in the editor is fine when dealing with large outside areas but for crammed in-door scenes it can som... ,"Apr 19, 2013",145,,https://feedback.unity3d.com/suggestions/editor-camera-fov-adjustable
Allow symlinks on Windows and OSX,"I've been using Symlinks on Windows for months and the work GREAT for me, but now Unity has just announced that Unity 4 will intenti... ","Aug 22, 2012",145,Completed,https://feedback.unity3d.com/suggestions/allow-symlinks-on-windows-and-os
"Replace Quicktime, Update MovieTexture support","Apple announced today that they are dropping support for Quicktime on Windows, there will be no more bug/vulnerability patches.

Q... ","Apr 15, 2016",144,Completed,https://feedback.unity3d.com/suggestions/replace-quicktime-update-movietexture-support
Edit or Delete signing credentials,"Hey there,

I use provisioning profiles for my Cloud Builds on iOS.

The thing is those profiles expire at a certain point, and ... ","Mar 02, 2016",142,,https://feedback.unity3d.com/suggestions/edit-or-delete-signing-credentials
[Visual Studio] Sync gmcs.rsp and smcs.rsp defines with -vs.csproj Defin...,"So far, we can do user-defined #defines in both gmcs/smcs response files, so they can strip code at compile time. But, in visual stu... ","Nov 20, 2012",141,Declined,https://feedback.unity3d.com/suggestions/visual-studio-sync-gmcsrsp-an
Graphics: Radiosity Normal Mapping,"This allows a static scene to be lightmapped without destroying the Normal Map effects, therefore providing huge performance and at ... ","Oct 01, 2010",141,Completed,https://feedback.unity3d.com/suggestions/graphics-radiosity-normal-mappi
Audio: Access to individual tracks in mod file,"yep. In order to use the greatness of mod files, we need, at least, to be able to access the individual tracks of the mod files.
Opt... ","Sep 17, 2010",140,,https://feedback.unity3d.com/suggestions/audio-access-to-individual-trac
Augmented reality (AR),"Provive augmented reality functions in Unity including
- Marker/Markerless tracking
- Face tracking
- Motion detection

Unity may in... ","Jun 24, 2010",140,,https://feedback.unity3d.com/suggestions/augmented-reality-ar
Graphics: Texture2D.SetPixels for compressed textures,We need to be able to upload a compressed texture to GPU local memory. Creating compressed textures via script is already possible a... ,"Nov 27, 2009",139,Completed,https://feedback.unity3d.com/suggestions/graphics-texture2dsetpixels-fo
Support Visual Studio Online,It would be great if repositories from Visual Studio online would be supported natively. Currently one has to put the credentials in... ,"Jun 07, 2015",138,,https://feedback.unity3d.com/suggestions/support-visual-studio-online
Multithreaded PhysX,"We got some new features a couple versions ago, but as someone mentioned, all the new features in the world can't change the fact th... ","May 27, 2013",138,Completed,https://feedback.unity3d.com/suggestions/multithreaded-physx
Selective cache removal from cached assetbundles,"Cached asset bundles managed through WWW.LoadFromCacheOrDownload() can be cleared from Caching class, but it only support clearing a... ","Oct 20, 2012",138,,https://feedback.unity3d.com/suggestions/selective-cache-removal-from-cac
Fractal landscape/texture/object generation,Ok so you've seen the likes of Terragen 2 with its stunning 3d fractal planets ... the ability to fly all the way out and through th... ,"Apr 13, 2010",138,,https://feedback.unity3d.com/suggestions/fractal-landscapetextureobject
Documentation: User Comments,"Add a comments section to the bottom of each page in the online docs - that way people can add C# translations, warn about problems,... ","Oct 30, 2009",138,Under review,https://feedback.unity3d.com/suggestions/documentation-user-comments
Method to cancel AsyncOperation.,"Currently, once SceneManager.LoadSceneAsync is called, there is no way to pause or cancel the operation. We can prevent the new scen... ","Jan 30, 2016",137,,https://feedback.unity3d.com/suggestions/method-to-cancel-asyncoperation
NVIDIA GameWorks VR Support,Support for NVIDIA GameWorks VR would keep Unity developers at the performance level necessary for Virtual Reality in the immediate ... ,"Dec 05, 2015",136,,https://feedback.unity3d.com/suggestions/nvidia-gameworks-vr-support
Support for banner advertisements,"Unity Ads is by far the easiest solution to implement advertisements in a Unity game, but it's missing one very critical feature; ba... ","Dec 02, 2015",136,,https://feedback.unity3d.com/suggestions/support-for-banner-advertisements
Order Independent Transparency,"Unity3d, for quite a while now, has been using transparency by the way of Back Ordering. It would have been nice to have, as an alte... ","Jul 14, 2015",136,,https://feedback.unity3d.com/suggestions/order-independent-transparency
Add support for material properties overrides for different platforms,"add ability to override material properties on specific platform.
exactly same as texture. this is very important.
for example i c... ","Oct 18, 2012",136,,https://feedback.unity3d.com/suggestions/change-material-on-different-pla
IronPython & IronRuby support,You should add support for dynamic mainstream languages like Python & Ruby by using their IronRuby & IronPython implementations. The... ,"Aug 22, 2011",136,,https://feedback.unity3d.com/suggestions/ironpython--ironruby-support
Editor: Reliable events/callbacks for scene saves and loads,I'm creating a tool that needs to associate some data (like a JSON file) with particular scenes. This data must persist between edit... ,"Aug 24, 2014",135,,https://feedback.unity3d.com/suggestions/editor-reliable-events-slash-callbacks-for-scene-saves-and-loads
Better support for GUI-only applications,"Of course the new GUI is under way but GUI-only applications (such as an ebook reader, picture viewer, calculator, etc.) have one sp... ","Sep 14, 2013",135,Completed,https://feedback.unity3d.com/suggestions/better-support-for-guionly-appl
Flat shading using face normals,When you want to achieve a flat shading look you have to have each face have its own vertices and not share them. This means a simpl... ,"Feb 10, 2015",134,,https://feedback.unity3d.com/suggestions/flat-shading-using-face-normals-1
"WWW.responseHeaders don't follow the RFC standard. Multiple ""Set-Cookie""...","According to the RFC 2109:
""An origin server may include multiple Set-Cookie headers in a response.""
Due to the Hashtable only the... ","Jan 23, 2011",134,,https://feedback.unity3d.com/suggestions/wwwresponseheaders-dont-follo
Editor: Tool tips for script values in inspector,"It would be handy to have tooltips for variables in the inspector which can be generated from the script, with some text and (if it ... ","Mar 10, 2010",133,Completed,https://feedback.unity3d.com/suggestions/editor-tool-tips-for-script-val
Add sounds/music to splash screen.,Allow developers to add intro sounds/music to their splash screens to accompany the new 5.5 splash editor. ,"Sep 20, 2016",132,Under review,https://feedback.unity3d.com/suggestions/add-sounds-slash-music-to-splash-screen
Official support for Reorderablelist,Having a public List/Array in the Inspector and not being able to easily change the order of the elements is very time consuming and... ,"May 17, 2016",131,,https://feedback.unity3d.com/suggestions/official-support-for-reorderablelist
"Ability to save Profiler ""detailed memory sample"" output as a CSV file.",I often find myself needing to compare two memory profiler samples to see what's been added/removed since the last sample.  It would... ,"Aug 20, 2013",131,Completed,https://feedback.unity3d.com/suggestions/ability-to-save-profiler-detai
Cloud Build Support for Android Expansion Files (OBB),So far we haven't found a way to make cloud builds that automatically generate obb expansion files if the player settings defines it... ,"May 27, 2015",130,Completed,https://feedback.unity3d.com/suggestions/cloud-build-support-for-android-expansion-files-obb
Unity Version Updater,"With all of the new bug fixes for Unity that come out on a regular basis, there should really be an updater for Unity so I don't hav... ","Sep 24, 2013",129,,https://feedback.unity3d.com/suggestions/unity-version-updater
Android apk file split for apps with size > 50MB,Google allowed app with more than 50MB file size. But it seems that they have to be split up into 50MB + 2GB + 2GB. It would be grea... ,"Jun 22, 2011",129,Completed,https://feedback.unity3d.com/suggestions/android-apk-file-split-for-apps-
Scripting: Improve JavaScript Features (properties etc),"Upgrade JS language features:

- Properties
- Default function parameters
- 2D arrays (syntax for creating is missing) ","Apr 15, 2009",129,Completed,https://feedback.unity3d.com/suggestions/scripting-improve-javascript-fe
OPUS audio support,I am wonder if you guys can support OPUS audio? OPUS is truly the best sounding and would fit right in with the gaming scene thanks.... ,"May 04, 2015",128,,https://feedback.unity3d.com/suggestions/opus-audio-support
"Open, edit, and save multiple scenes at the same time.","As of Unity 3.3, you can only open and edit one scene at a time. Splitting a game up into multiple scenes is very helpful for team-b... ","Jun 08, 2011",128,Completed,https://feedback.unity3d.com/suggestions/open-edit-and-save-multiple-sc
Built-In Patching for a Build,"Unity is wonderful at what it does, but I can't help but feel frustrated when thinking about how my client will be distributed to au... ","Mar 10, 2016",127,,https://feedback.unity3d.com/suggestions/built-in-patching-for-a-build
Multiple Event Systems,"It would be awesome if we could add multiple event systems in a scene, and add a component to game objects that tells them they shou... ","Oct 17, 2015",127,,https://feedback.unity3d.com/suggestions/multiple-event-systems
Configurable Save Location for PlayerPrefs for Steam Cloud saves support,I'm publishing my game to Steam and would like to use their Cloud Saves system. I've already been using the existing PlayerPrefs cla... ,"Sep 23, 2015",127,,https://feedback.unity3d.com/suggestions/configurable-save-location-for-playerprefs-for-steam-cloud-saves-support
Graphics: Multiple Render Target support,Would be nice to support Multiple Render Targets somehow. MRT is the ability to render into more than one render texture at the same... ,"Apr 09, 2009",127,Completed,https://feedback.unity3d.com/suggestions/graphics-multiple-render-target
Physics2D: allow to change the value of the Box2D b2_velocityThreshold c...,"Hello,
There is a Box2D constant called ""b2_velocityThreshold"". This is its definition:

""A velocity threshold for elastic collis... ","Jan 11, 2014",126,Completed,https://feedback.unity3d.com/suggestions/physics2d-allow-to-change-the-value-of-the-box2d-b2-velocitythreshold-constant
Editor: Face FX Support,"Face Fx is a great tool for animating The Models Which Can Talk with Blazing speed!!!!

this tool is included in U.D.K ... its very ... ","Jun 10, 2010",126,,https://feedback.unity3d.com/suggestions/editor-face-fx-support
Check keystore and key passwords on Android before building,"When building on Android, it may happen for some reason that the passwords of the keystore/key are wrong or unexistant.
When launch... ","Oct 10, 2015",125,,https://feedback.unity3d.com/suggestions/check-keystore-and-key-passwords-on-android-before-building
Expose impulse in Collision2D,"Unity 5.2 has exposed the impulse of a collision for 3D collisions, but not 2D ones. Thanks for your hard work! ","Sep 08, 2015",125,,https://feedback.unity3d.com/suggestions/expose-impulse-in-collision2d
Support iOS Background Tasks and Background Fetch,"Background tasks and background fetching are increasingly important for mobile gaming and apps. Keeping network connections alive, r... ","Sep 08, 2015",125,,https://feedback.unity3d.com/suggestions/support-ios-background-tasks-and-background-fetch
Profiler to Unity Free,"Could you please bring the unity profiler to unity free. For indie developer like me, we need to make apps with great performance in... ","Jul 07, 2014",125,Completed,https://feedback.unity3d.com/suggestions/profiler-to-unity-free
Layer overrides on AnimatorOverrideController,"We've been experimenting with the new AnimatorOverrideController added in 4.3 and it seems very promising.

We have animations whi... ","Dec 28, 2013",125,,https://feedback.unity3d.com/suggestions/layer-overrides-on-animatoroverridecontroller
Editor: CSG/BSP Map Creation Tool,Torque has Torque Constructor. Source has Hammer. Unreal has UnrealEd. Many commercial game engines have these tools. They are easy ... ,"Jul 04, 2009",125,,https://feedback.unity3d.com/suggestions/editor-csgbsp-map-creation-too
Unity3D profiler must profiler multithreaded code as well,"Since, as developers, we can rely only on the tools Unity provides to debug and profile, it's very important that these tools are ac... ","Jan 12, 2016",124,,https://feedback.unity3d.com/suggestions/unity3d-profiler-must-profiler-multithreaded-code-as-well
Fix bug with Interactive Cloth when you set Time.timeScale to 0,"When you have interactive cloth in your scene, and you set Time.timeScale to 0, it pretty much destroys the game. Sometimes it crash... ","Oct 12, 2013",124,Invalid,https://feedback.unity3d.com/suggestions/fix-bug-with-interactive-cloth-when-you-set-time-dot-timescale-to-0
Profiler: Show average over time,Some times it beneficial to not profile each frame separately but to see the average timing over a period of time. I suggest the opt... ,"Nov 12, 2012",124,,https://feedback.unity3d.com/suggestions/2668--profiler-show-average-over-time
